cycle,input_q15,output_q15,accumulator_q34
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000000e+00,2.457600000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.457600000000000000e+04
7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-4.915200000000000000e+04
9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-1.474560000000000000e+05
1.000000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-3.194880000000000000e+05
1.100000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-5.406720000000000000e+05
1.200000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-7.864320000000000000e+05
1.300000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-9.830400000000000000e+05
1.400000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-1.105920000000000000e+06
1.500000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-1.056768000000000000e+06
1.600000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-8.110080000000000000e+05
1.700000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-4.177920000000000000e+05
1.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.915200000000000000e+04
1.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.669440000000000000e+05
2.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,7.127040000000000000e+05
2.100000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,6.881280000000000000e+05
2.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.177920000000000000e+05
2.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-4.915200000000000000e+04
2.400000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-5.160960000000000000e+05
2.500000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-8.110080000000000000e+05
2.600000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-7.864320000000000000e+05
2.700000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-4.423680000000000000e+05
2.800000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.228800000000000000e+05
2.900000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,6.881280000000000000e+05
3.000000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.032192000000000000e+06
3.100000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,9.830400000000000000e+05
3.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.915200000000000000e+05
3.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,-2.457600000000000000e+05
3.400000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-9.584640000000000000e+05
3.500000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00,-1.351680000000000000e+06
3.600000000000000000e+01,0.000000000000000000e+00,-2.000000000000000000e+00,-1.204224000000000000e+06
3.700000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-5.160960000000000000e+05
3.800000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.423680000000000000e+05
3.900000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.351680000000000000e+06
4.000000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.744896000000000000e+06
4.100000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+00,1.449984000000000000e+06
4.200000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+00,4.915200000000000000e+05
4.300000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-7.864320000000000000e+05
4.400000000000000000e+01,0.000000000000000000e+00,-4.000000000000000000e+00,-1.843200000000000000e+06
4.500000000000000000e+01,0.000000000000000000e+00,-4.000000000000000000e+00,-2.236416000000000000e+06
4.600000000000000000e+01,0.000000000000000000e+00,-3.000000000000000000e+00,-1.695744000000000000e+06
4.700000000000000000e+01,0.000000000000000000e+00,-1.000000000000000000e+00,-3.686400000000000000e+05
4.800000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+00,1.253376000000000000e+06
4.900000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,2.506752000000000000e+06
5.000000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+00,2.801664000000000000e+06
5.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+00,1.916928000000000000e+06
5.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.830400000000000000e+04
5.300000000000000000e+01,0.000000000000000000e+00,-4.000000000000000000e+00,-1.941504000000000000e+06
5.400000000000000000e+01,0.000000000000000000e+00,-6.000000000000000000e+00,-3.317760000000000000e+06
5.500000000000000000e+01,0.000000000000000000e+00,-6.000000000000000000e+00,-3.391488000000000000e+06
