cycle,input_q15,output_q15,accumulator_q34
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.708800000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,1.099200000000000000e+04,0.000000000000000000e+00,1.708800000000000000e+04
3.000000000000000000e+00,1.613400000000000000e+04,0.000000000000000000e+00,1.099200000000000000e+04
4.000000000000000000e+00,2.596500000000000000e+04,0.000000000000000000e+00,-1.804200000000000000e+04
5.000000000000000000e+00,9.025000000000000000e+03,0.000000000000000000e+00,-9.854700000000000000e+04
6.000000000000000000e+00,-3.848000000000000000e+03,-1.000000000000000000e+00,-3.113390000000000000e+05
7.000000000000000000e+00,-5.900000000000000000e+01,-1.000000000000000000e+00,-6.714140000000000000e+05
8.000000000000000000e+00,-1.412200000000000000e+04,-2.000000000000000000e+00,-1.172281000000000000e+06
9.000000000000000000e+00,-2.724700000000000000e+04,-3.000000000000000000e+00,-1.788333000000000000e+06
1.000000000000000000e+01,-1.388300000000000000e+04,-5.000000000000000000e+00,-2.417524000000000000e+06
1.100000000000000000e+01,-9.069000000000000000e+03,-5.000000000000000000e+00,-2.839475000000000000e+06
1.200000000000000000e+01,-1.293600000000000000e+04,-5.000000000000000000e+00,-2.874410000000000000e+06
1.300000000000000000e+01,6.424000000000000000e+03,-5.000000000000000000e+00,-2.390087000000000000e+06
1.400000000000000000e+01,2.037500000000000000e+04,-2.000000000000000000e+00,-1.279167000000000000e+06
1.500000000000000000e+01,1.207100000000000000e+04,1.000000000000000000e+00,3.354560000000000000e+05
1.600000000000000000e+01,1.727500000000000000e+04,4.000000000000000000e+00,2.102503000000000000e+06
1.700000000000000000e+01,2.327600000000000000e+04,7.000000000000000000e+00,3.607097000000000000e+06
1.800000000000000000e+01,3.291000000000000000e+03,8.000000000000000000e+00,4.401759000000000000e+06
1.900000000000000000e+01,-7.686000000000000000e+03,8.000000000000000000e+00,4.051413000000000000e+06
2.000000000000000000e+01,-3.765000000000000000e+03,5.000000000000000000e+00,2.502071000000000000e+06
2.100000000000000000e+01,-1.830400000000000000e+04,0.000000000000000000e+00,7.046900000000000000e+04
2.200000000000000000e+01,-2.703400000000000000e+04,-5.000000000000000000e+00,-2.683270000000000000e+06
2.300000000000000000e+01,-1.062800000000000000e+04,-9.000000000000000000e+00,-4.953059000000000000e+06
2.400000000000000000e+01,-6.456000000000000000e+03,-1.100000000000000000e+01,-5.907021000000000000e+06
2.500000000000000000e+01,-8.192000000000000000e+03,-1.000000000000000000e+01,-5.147437000000000000e+06
2.600000000000000000e+01,1.248700000000000000e+04,-5.000000000000000000e+00,-2.766022000000000000e+06
2.700000000000000000e+01,2.257200000000000000e+04,1.000000000000000000e+00,6.851410000000000000e+05
2.800000000000000000e+01,1.221000000000000000e+04,8.000000000000000000e+00,4.139032000000000000e+06
2.900000000000000000e+01,1.727500000000000000e+04,1.200000000000000000e+01,6.441850000000000000e+06
3.000000000000000000e+01,1.934700000000000000e+04,1.300000000000000000e+01,6.811502000000000000e+06
3.100000000000000000e+01,-2.758000000000000000e+03,1.000000000000000000e+01,5.011114000000000000e+06
3.200000000000000000e+01,-1.118400000000000000e+04,3.000000000000000000e+00,1.514532000000000000e+06
3.300000000000000000e+01,-7.022000000000000000e+03,-5.000000000000000000e+00,-2.521955000000000000e+06
3.400000000000000000e+01,-2.135000000000000000e+04,-1.100000000000000000e+01,-5.752237000000000000e+06
3.500000000000000000e+01,-2.532600000000000000e+04,-1.300000000000000000e+01,-7.062256000000000000e+06
3.600000000000000000e+01,-6.542000000000000000e+03,-1.100000000000000000e+01,-6.003381000000000000e+06
3.700000000000000000e+01,-3.354000000000000000e+03,-6.000000000000000000e+00,-2.918992000000000000e+06
3.800000000000000000e+01,-3.157000000000000000e+03,2.000000000000000000e+00,1.046761000000000000e+06
3.900000000000000000e+01,1.784800000000000000e+04,8.000000000000000000e+00,4.429840000000000000e+06
4.000000000000000000e+01,2.351400000000000000e+04,1.200000000000000000e+01,6.060317000000000000e+06
4.100000000000000000e+01,1.137800000000000000e+04,1.000000000000000000e+01,5.375127000000000000e+06
4.200000000000000000e+01,1.617600000000000000e+04,5.000000000000000000e+00,2.737516000000000000e+06
4.300000000000000000e+01,1.441600000000000000e+04,-1.000000000000000000e+00,-6.738570000000000000e+05
4.400000000000000000e+01,-8.776000000000000000e+03,-7.000000000000000000e+00,-3.436712000000000000e+06
4.500000000000000000e+01,-1.408800000000000000e+04,-8.000000000000000000e+00,-4.446058000000000000e+06
